,USC00479319_prcp,USC00479319_snow,USC00479319_snwd,USC00479319_tmax,USC00479319_tmin,USC00205662_prcp,USC00205662_snow,USC00205662_snwd,USC00205662_tmax,USC00205662_tmin,Superior,Michigan-Huron,St. Clair,Erie,Ontario
USC00479319_prcp,1.0,-0.1775050651779018,-0.17206637678327796,0.47150312812722767,0.502304012227556,0.26591560186823665,-0.07116312085254733,-0.15411921643008575,0.4037220610463635,0.42643592582316614,0.12242149634077457,0.14355141817078398,0.21377792499933645,0.23321673031505333,0.3046526231286103
USC00479319_snow,-0.1775050651779018,1.0,0.5818709225877621,-0.5910724717649726,-0.5956609327654907,-0.12144831778229347,0.22731854566264031,0.32383539194482863,-0.47802148284750967,-0.48491186228041033,-0.17631585642492925,-0.1909759586146546,-0.2504666863619098,-0.254381578630633,-0.2715448154612048
USC00479319_snwd,-0.17206637678327796,0.5818709225877621,1.0,-0.5354832792711725,-0.5653900398352802,-0.1488030111574056,0.19368881132575713,0.5395770271895796,-0.4684712061641236,-0.49288616378684846,-0.22515218455722924,-0.19495628477465204,-0.257050333319971,-0.260126105740551,-0.23140623174531846
USC00479319_tmax,0.47150312812722767,-0.5910724717649726,-0.5354832792711725,1.0,0.9861526507435177,0.2345206772466698,-0.23556027099022522,-0.37623970866238493,0.8439580353806967,0.8423300717284711,0.2962646472264865,0.28402253570235475,0.36235797750956733,0.3744425925805121,0.4866488035011248
USC00479319_tmin,0.502304012227556,-0.5956609327654907,-0.5653900398352802,0.9861526507435177,1.0,0.24920266829686455,-0.23491301030094772,-0.40124312978592536,0.842039376432886,0.8549002126816239,0.340365991124329,0.3153566897059879,0.39036965507303995,0.3974857310383805,0.4910961721496381
USC00205662_prcp,0.26591560186823665,-0.12144831778229347,-0.1488030111574056,0.2345206772466698,0.24920266829686455,1.0,0.14733246575019904,-0.06752056603991119,0.3000333511415194,0.3221230315121606,0.07230883832906541,0.003315429887762869,0.05660161986226858,0.06454669580416371,0.08594323599570938
USC00205662_snow,-0.07116312085254733,0.22731854566264031,0.19368881132575713,-0.23556027099022522,-0.23491301030094772,0.14733246575019904,1.0,0.3023654125583032,-0.249046208223519,-0.2423142961520931,-0.14092192969109144,-0.12952665203481925,-0.08757256426387695,-0.05500703032818243,-0.1148792840502707
USC00205662_snwd,-0.15411921643008575,0.32383539194482863,0.5395770271895796,-0.37623970866238493,-0.40124312978592536,-0.06752056603991119,0.3023654125583032,1.0,-0.37616237852310463,-0.4071466611281947,-0.20957271076167885,-0.13674598077793393,-0.21877887974283727,-0.22219535712560512,-0.21290070480159898
USC00205662_tmax,0.4037220610463635,-0.47802148284750967,-0.4684712061641236,0.8439580353806967,0.842039376432886,0.3000333511415194,-0.249046208223519,-0.37616237852310463,1.0,0.9827568462919549,0.31193938897464774,0.19286954579934454,0.2570399515012402,0.2557624617773958,0.3938350570252717
USC00205662_tmin,0.42643592582316614,-0.48491186228041033,-0.49288616378684846,0.8423300717284711,0.8549002126816239,0.3221230315121606,-0.2423142961520931,-0.4071466611281947,0.9827568462919549,1.0,0.34381325892208625,0.21546693020516386,0.29261878589518653,0.28819211770188335,0.3987204345102805
Superior,0.12242149634077457,-0.17631585642492925,-0.22515218455722924,0.2962646472264865,0.340365991124329,0.07230883832906541,-0.14092192969109144,-0.20957271076167885,0.31193938897464774,0.34381325892208625,1.0,0.6313719256959576,0.5134116278283589,0.40235321798346557,0.2921045895201954
Michigan-Huron,0.14355141817078398,-0.1909759586146546,-0.19495628477465204,0.28402253570235475,0.3153566897059879,0.003315429887762869,-0.12952665203481925,-0.13674598077793393,0.19286954579934454,0.21546693020516386,0.6313719256959576,1.0,0.909832004225834,0.850671549542632,0.6553055262281756
St. Clair,0.21377792499933645,-0.2504666863619098,-0.257050333319971,0.36235797750956733,0.39036965507303995,0.05660161986226858,-0.08757256426387695,-0.21877887974283727,0.2570399515012402,0.29261878589518653,0.5134116278283589,0.909832004225834,1.0,0.9664119040425022,0.7527513801052942
Erie,0.23321673031505333,-0.254381578630633,-0.260126105740551,0.3744425925805121,0.3974857310383805,0.06454669580416371,-0.05500703032818243,-0.22219535712560512,0.2557624617773958,0.28819211770188335,0.40235321798346557,0.850671549542632,0.9664119040425022,1.0,0.8153269991222457
Ontario,0.3046526231286103,-0.2715448154612048,-0.23140623174531846,0.4866488035011248,0.4910961721496381,0.08594323599570938,-0.1148792840502707,-0.21290070480159898,0.3938350570252717,0.3987204345102805,0.2921045895201954,0.6553055262281756,0.7527513801052942,0.8153269991222457,1.0
