,USC00479319_prcp,USC00479319_snow,USC00479319_snwd,USC00479319_tmax,USC00479319_tmin,USC00205662_prcp,USC00205662_snow,USC00205662_snwd,USC00205662_tmax,USC00205662_tmin,Superior,Michigan-Huron,St. Clair,Erie,Ontario
USC00479319_prcp,1.0,-0.023940969686183634,0.17657975152028751,0.40455029785178737,0.4609932969220991,0.08437064950667841,0.20456709872169454,0.037818749839062124,-0.1411406712119117,0.008551711472209246,0.009862806384566885,0.10775859209862132,0.1742969919755048,0.2023483257756856,0.19234752755547202
USC00479319_snow,-0.023940969686183634,1.0,0.5887010341813977,-0.5473180846660433,-0.6051507843636852,-0.0026506210502288416,0.08670903076159728,0.2512429095849243,0.08813338716258967,-0.042757969224065696,-0.007875762324835358,-0.18549624612202023,-0.29722582968823785,-0.3062367519281059,-0.18775951196809318
USC00479319_snwd,0.17657975152028751,0.5887010341813977,1.0,-0.15084424801456858,-0.20713585348905425,-0.06013238279153848,0.06755372179561157,0.4173655737835006,-0.06595987493197883,-0.22152192131912657,-0.06158518612424765,-0.1289121225042308,-0.24389456688348618,-0.2620923394974065,-0.0643594896974406
USC00479319_tmax,0.40455029785178737,-0.5473180846660433,-0.15084424801456858,1.0,0.9570123071846144,0.11919417005183067,0.026093879933189547,-0.09010461425163147,-0.050524327358079955,0.052161733781915146,-0.054266079469894646,0.1784298670838279,0.22044468256842398,0.23406333652132208,0.24068918165526718
USC00479319_tmin,0.4609932969220991,-0.6051507843636852,-0.20713585348905425,0.9570123071846144,1.0,0.10824592924433207,0.02444382051359499,-0.12657626203642647,-0.07564823787521142,0.05639776293357014,0.06095994636996973,0.28457359183912295,0.3294541388281647,0.3392774852896334,0.3013267277388864
USC00205662_prcp,0.08437064950667841,-0.0026506210502288416,-0.06013238279153848,0.11919417005183067,0.10824592924433207,1.0,0.47478029073905365,0.08139829473171717,0.3735525446009439,0.424421096330788,-0.08733989134231374,-0.09483005889126372,-0.0346308374166783,0.0009510625741837569,4.5909477585746304e-05
USC00205662_snow,0.20456709872169454,0.08670903076159728,0.06755372179561157,0.026093879933189547,0.02444382051359499,0.47478029073905365,1.0,0.21286400022651555,0.058398933001305726,0.10318918416066297,-0.05246976441943657,-0.07164651934411745,0.007990040185358222,0.047164274157135457,-0.008057624303979313
USC00205662_snwd,0.037818749839062124,0.2512429095849243,0.4173655737835006,-0.09010461425163147,-0.12657626203642647,0.08139829473171717,0.21286400022651555,1.0,0.015907563818326562,-0.11930566307429766,-0.04683857545567873,-0.03605908746445222,-0.16912553994431279,-0.19451838201950764,-0.1374232768448122
USC00205662_tmax,-0.1411406712119117,0.08813338716258967,-0.06595987493197883,-0.050524327358079955,-0.07564823787521142,0.3735525446009439,0.058398933001305726,0.015907563818326562,1.0,0.8831224866438231,-0.10505892165000372,-0.2159953852779567,-0.23075100367903292,-0.224662845407683,-0.08812590658123975
USC00205662_tmin,0.008551711472209246,-0.042757969224065696,-0.22152192131912657,0.052161733781915146,0.05639776293357014,0.424421096330788,0.10318918416066297,-0.11930566307429766,0.8831224866438231,1.0,-0.11414840685739396,-0.14515230612219826,-0.05680223549513549,-0.028175006357598963,0.041029123516821336
Superior,0.009862806384566885,-0.007875762324835358,-0.06158518612424765,-0.054266079469894646,0.06095994636996973,-0.08733989134231374,-0.05246976441943657,-0.04683857545567873,-0.10505892165000372,-0.11414840685739396,1.0,0.6756096725871441,0.5523089920365636,0.469579475772525,0.38496688026615
Michigan-Huron,0.10775859209862132,-0.18549624612202023,-0.1289121225042308,0.1784298670838279,0.28457359183912295,-0.09483005889126372,-0.07164651934411745,-0.03605908746445222,-0.2159953852779567,-0.14515230612219826,0.6756096725871441,1.0,0.9301095727339055,0.878174641946067,0.7372286164203021
St. Clair,0.1742969919755048,-0.29722582968823785,-0.24389456688348618,0.22044468256842398,0.3294541388281647,-0.0346308374166783,0.007990040185358222,-0.16912553994431279,-0.23075100367903292,-0.05680223549513549,0.5523089920365636,0.9301095727339055,1.0,0.9876618695601204,0.8042155978808345
Erie,0.2023483257756856,-0.3062367519281059,-0.2620923394974065,0.23406333652132208,0.3392774852896334,0.0009510625741837569,0.047164274157135457,-0.19451838201950764,-0.224662845407683,-0.028175006357598963,0.469579475772525,0.878174641946067,0.9876618695601204,1.0,0.82356769447162
Ontario,0.19234752755547202,-0.18775951196809318,-0.0643594896974406,0.24068918165526718,0.3013267277388864,4.5909477585746304e-05,-0.008057624303979313,-0.1374232768448122,-0.08812590658123975,0.041029123516821336,0.38496688026615,0.7372286164203021,0.8042155978808345,0.82356769447162,1.0
