,USC00479319_prcp,USC00479319_snow,USC00479319_snwd,USC00479319_tmax,USC00479319_tmin,USC00205662_prcp,USC00205662_snow,USC00205662_snwd,USC00205662_tmax,USC00205662_tmin,Superior,Michigan-Huron,St. Clair,Erie,Ontario
1922-05-31,1.832258064516129,0.0,0.0,23.65333333333335,11.145161290322582,2.2903225806451624,0.0,76.5,24.319354838709657,9.112903225806448,183.29,176.57,174.99,174.17,74.92
1922-06-30,1.9266666666666667,0.0,0.0,25.423333333333332,12.75333333333333,3.0933333333333333,0.0,76.5,27.013333333333314,12.10333333333334,183.36,176.63,175.0,174.2,74.96
1922-07-31,2.874193548387097,0.0,0.0,28.045161290322575,13.076666666666673,2.690322580645161,0.0,76.5,26.999999999999996,13.041935483870963,183.45,176.67,175.07,174.16,75.02
1922-08-31,0.2870967741935484,0.0,0.0,28.38709677419355,13.30967741935484,8.899999999999999,0.0,76.5,28.393548387096754,12.72258064516129,183.5,176.63,175.02,174.08,74.9
1922-09-30,1.9433333333333338,0.0,0.0,25.84666666666666,9.820000000000002,4.733333333333333,0.0,76.5,24.11666666666667,9.553333333333336,183.52,176.56,174.97,174.02,74.75
1922-10-31,0.4806451612903226,0.0,0.0,20.21290322580646,3.8774193548387097,1.4,0.0,76.5,16.78064516129031,4.3903225806451625,183.45,176.46,174.83,173.88,74.61
1922-11-30,2.2833333333333328,0.0,0.0,8.209999999999999,1.4066666666666676,1.5566666666666664,1.0,0.0,7.723333333333329,0.4366666666666671,183.39,176.35,174.69,173.74,74.47
1922-12-31,0.5419354838709678,35.2,48.21052631578947,-1.1967741935483867,-11.535483870967754,1.0580645161290323,9.838709677419354,0.0,-0.16129032258064527,-7.706451612903226,183.31,176.25,174.65,173.64,74.32
1923-01-31,0.732258064516129,9.935483870967742,89.58823529411765,-1.2806451612903218,-11.30967741935484,1.9999999999999993,19.193548387096776,171.5,-1.258064516129032,-10.56774193548387,183.23,176.16,174.53,173.66,74.3
1923-02-28,0.5142857142857143,8.607142857142858,150.46428571428572,-4.975000000000002,-18.88928571428571,1.9999999999999993,19.193548387096776,171.5,-4.142857142857144,-14.03571428571428,183.15,176.13,174.4,173.56,74.27
1923-03-31,1.7580645161290318,14.774193548387096,135.44444444444446,3.9225806451612897,-14.300000000000002,2.912903225806452,8.935483870967742,171.5,0.7741935483870965,-9.33225806451613,183.12,176.15,174.52,173.64,74.36
1923-04-30,3.959999999999999,8.466666666666667,33.666666666666664,11.058620689655173,-0.9206896551724142,2.912903225806452,8.935483870967742,171.5,10.616666666666667,-0.24000000000000077,183.11,176.22,174.63,173.78,74.54
1923-05-31,1.5354838709677419,0.8064516129032258,12.5,21.02903225806452,4.712903225806452,3.62258064516129,4.903225806451613,171.5,19.270967741935493,3.2935483870967737,183.18,176.34,174.76,173.89,74.62
1923-06-30,2.736666666666667,0.0,12.5,28.89666666666668,11.616666666666667,1.1333333333333333,4.903225806451613,171.5,27.293333333333344,13.213333333333326,183.21,176.41,174.82,173.94,74.72
1923-07-31,0.8516129032258064,0.0,12.5,30.75161290322582,15.458064516129035,2.238709677419355,4.903225806451613,171.5,27.532258064516114,13.541935483870972,183.27,176.42,174.85,173.93,74.68
1923-08-31,1.025806451612903,0.0,12.5,26.803225806451618,12.038709677419353,1.7129032258064514,4.903225806451613,171.5,24.64838709677419,9.75161290322581,183.3,176.4,174.79,173.85,74.55
1923-09-30,5.5200000000000005,0.0,12.5,21.98666666666666,8.929999999999994,2.6499999999999995,4.903225806451613,171.5,20.383333333333326,9.30666666666667,183.32,176.36,174.75,173.8,74.44
1923-10-31,0.8129032258064516,0.0,12.5,14.687096774193545,0.7838709677419352,1.4580645161290322,0.0,171.5,14.100000000000003,2.367741935483869,183.3,176.29,174.66,173.69,74.32
1923-11-30,1.06,1.8666666666666667,12.5,8.430000000000003,-3.8299999999999996,1.4166666666666667,0.0,171.5,7.696666666666662,-0.9199999999999998,183.28,176.18,174.56,173.62,74.24
1923-12-31,1.5096774193548383,7.387096774193548,229.0,4.548387096774191,-5.446666666666664,1.7354838709677414,7.354838709677419,171.5,4.503225806451612,-2.583870967741935,183.22,176.11,174.56,173.73,74.28
1924-01-31,0.7419354838709677,7.193548387096774,292.1,-7.325806451612902,-21.800000000000004,1.7354838709677414,7.354838709677419,171.5,4.503225806451612,-2.583870967741935,183.15,176.06,174.58,173.76,74.34
1924-02-29,0.45862068965517244,22.428571428571427,128.58823529411765,-1.4931034482758623,-11.527586206896547,0.9379310344827586,43.666666666666664,195.85714285714286,-1.9379310344827583,-11.951724137931034,183.07,176.05,174.29,173.72,74.4
1924-03-31,3.1166666666666667,15.612903225806452,234.10714285714286,-1.4931034482758623,-9.040000000000003,0.9379310344827586,43.666666666666664,195.85714285714286,2.261290322580646,-5.6387096774193575,183.01,176.06,174.41,173.68,74.39
1924-04-30,2.6799999999999997,0.0,84.66666666666667,12.603703703703706,0.7266666666666669,1.0799999999999998,0.8666666666666667,195.85714285714286,12.443333333333324,0.3300000000000001,183.02,176.11,174.63,173.84,74.55
1924-05-31,1.8290322580645157,0.0,84.66666666666667,15.316129032258065,3.7290322580645157,2.683870967741935,0.8666666666666667,195.85714285714286,15.04516129032259,2.7032258064516137,183.05,176.24,174.76,173.99,74.76
1924-06-30,8.253333333333336,0.0,84.66666666666667,22.876666666666672,10.683333333333334,1.4366666666666665,0.8666666666666667,195.85714285714286,24.209999999999997,9.563333333333329,183.09,176.28,174.81,174.04,74.82
1924-07-31,4.6322580645161295,0.0,84.66666666666667,26.44193548387096,12.225806451612904,3.196774193548387,0.8666666666666667,195.85714285714286,25.79354838709678,11.616129032258062,183.12,176.33,174.88,174.08,74.79
1924-08-31,5.925806451612905,0.0,84.66666666666667,25.648387096774176,12.735483870967755,3.051612903225807,0.8666666666666667,195.85714285714286,26.200000000000003,11.416129032258063,183.2,176.38,174.85,174.0,74.75
1924-09-30,3.543333333333334,0.0,84.66666666666667,19.613333333333337,6.760000000000001,3.051612903225807,0.8666666666666667,195.85714285714286,26.200000000000003,11.416129032258063,183.26,176.33,174.79,173.91,74.62
1924-10-31,0.49032258064516127,0.0,84.66666666666667,19.961290322580655,4.1580645161290315,0.22903225806451613,0.8666666666666667,195.85714285714286,20.77419354838709,3.1870967741935496,183.28,176.24,174.71,173.84,74.56
1924-11-30,1.8233333333333333,2.1333333333333333,19.0,6.926666666666664,-3.3666666666666663,0.22903225806451613,0.8666666666666667,195.85714285714286,8.74666666666667,-2.6066666666666674,183.2,176.12,174.52,173.66,74.41
